Latitude,Longitude
-33.398609,138.0478629
-29.1808105,115.6368964
-36.8402605,143.1916319
48.4343071,-96.1640721
-36.7625405,147.1387845
-34.4686797,138.7469128
-20.2856945,148.7292838
-25.3049151,152.2419421
-44.9640422,167.5180049
-36.190901,144.5262689
43.7971612,-89.0402508
-34.2192368,141.5084046
-34.6058733,149.8038207
79.6213809,-76.7739239
49.0115876,2.1993602
38.91706,-77.00025
38.0443053,-78.4775116
-38.4675627,142.9196317
37.5636559,126.9975097
-28.765,153.2511111
-33.7319476,150.823408
-42.363639,172.589861
-24.265952,150.5131124
-37.9395982,144.0094948
-26.455403,151.6994742
38.4086616,-89.9920501
35.8418438,-102.6145811
46.5886822,1.5191029
-36.3126924,150.0745433
-37.472382,141.6654539
-28.295356,147.3059333
-37.8832314,144.7010882
29.6214008,-83.17351
43.14322,-2.96204
-31.7569941,115.7380757
-26.221059,151.7392144
-32.2466315,115.8264989
-34.545,150.7941667
-31.546924,121.8946654
33.1570582,-94.9694007
-42.1159384,171.8634561
-38.2267772,144.6512003
-34.8625388,138.5723971
-31.0374355,117.0209718
50.8230346,-3.7070975
-36.6510355,143.3951358
-37.7205762,144.8047614
53.58858,-113.52928
-35.8181981,147.6624064
39.0752352,-93.7172567
-35.0702968,139.0111223
-23.1435036,150.7616718
-27.081801,149.2215718
51.5074889,-0.1622074
-33.7660606,151.1601121
-33.3739226,138.7469092
-34.2206247,150.97997
-26.7673345,153.1236581
-37.734301,144.2176022
-29.01004,114.8225818
50.3514839,-3.583844
33.2021284,-117.2424787
-17.4470362,130.8334612
37.1260578,-122.1221869
-34.0808666,151.0994052
-34.8480469,138.7702996
-38.281931,143.4875514
-30.9749598,152.5331926
41.8197385,-87.756525
-31.1814519,149.1783719
-32.1036469,149.0876376
-35.1983333,148.1344444
-35.01462,117.9165
-25.321353,152.8162724
-33.4542735,149.086696
-33.3816667,151.4844444
-34.2569424,146.1023304
5.882204,-162.0748745
-28.2543715,151.979929
-32.6466,117.3431747
-31.5381316,152.063247
-33.50346,117.8673306
34.7086165,135.2249935
-28.2972232,153.5483234
-33.1029115,151.5600857
53.9656578,-1.0743052
-27.815618,153.1174694
47.6480469,19.4676238
37.333178,-119.6572441
52.1728069,-2.1840377
-22.622975,149.7148866
55.309632,-1.9117293
-36.5485,149.3846
-34.1486682,140.3446133
55.9344757,-3.2058052
-37.9512702,145.1908377
-29.3152,151.8012
42.1608585,-88.0814651
-28.5006425,114.7756694
-34.4376942,138.5103239
-27.499147,151.954445
-32.7402725,117.1463621
53.99983,-125.0032
-29.1273423,153.2475881
-32.7940709,137.9745846
40.2367043,-87.2433423
-30.7464139,121.473223
37.8861228,-97.516988
46.5918458,4.8839618
41.6611444,-87.7525511
-37.8722432,144.6084185
-33.6096795,151.3309449
-31.2686549,119.2467705
-36.7678965,145.7332442
-38.3399766,143.5858537
-24.3389905,150.4977888
53.5864676,9.7776697
-34.1308958,149.0086272
-32.1983333,150.8677778
51.5390194,-0.0342963
-37.6659556,145.1813531
-34.5663161,139.0870339
-21.0619795,149.1583431
-37.092269,142.5738155
-33.4250175,151.3417318
-33.4538889,151.3136111
-33.6636325,117.5385083
-37.159571,146.2049054
-27.4856896,153.1813671
-36.5196875,143.6142053
-27.4377187,153.1659743
-37.0430837,144.7989814
-23.5551551,145.2873236
-33.2691667,151.4261111
-34.3973728,140.302095
53.3858337,-6.0651186
-29.715,150.9344444
-33.5228755,115.7354285
-33.7377967,150.7205556
38.6381245,-84.5604977
49.6337518,-102.2669689
-6.2210772,106.8102904
42.3746525,-70.9825807
51.2443661,0.083299
-33.8260081,151.2254326
-38.5643725,142.8917073
-34.0064795,116.1539838
-35.1798245,150.5732367
-31.7815603,115.7710675
-35.3075604,149.1246038
41.4996574,-81.6936772
-30.8313105,138.4112413
30.4031037,-92.2148413
-35.36217,149.0835894
-27.9263242,122.2228782
34.8383236,-114.603872
-33.8894781,151.1274125
-38.507399,145.1452071
-32.4685295,115.748503
-27.6516505,152.7810788
-22.2307455,118.3344737
-36.346104,142.5515836
-33.4066667,151.4761111
-31.1741667,147.2322222
-29.6305492,153.029004
-34.6910694,138.6683869
-27.5616245,152.2299817
-34.9263278,137.0847615
-28.5457,152.9537
-30.0483333,149.4344444
40.8012894,-72.8675941
-33.565,149.0177778
40.7556561,-73.5876273
-33.1090883,151.4879121
-32.3326392,152.5313487
-33.9104,151.1560775
-33.9258322,151.1029075
-37.7858441,144.6243883
-36.7771068,144.2972622
-33.9150948,136.5747112
-32.9483333,151.2677778
-33.7328828,151.128541
51.7895571,6.1376008
-38.3226485,142.0794481
42.1933581,-87.8664579
-33.8035675,119.162981
-19.0771666,34.7164804
41.4776567,-95.3394897
37.2149065,35.9788169
-20.092656,146.2794872
-27.648265,153.0551045
-37.79662,147.4675424
45.5223899,-61.9815557
-34.7274684,135.8765284
-26.8830175,152.1011195
-36.2925693,149.5022756
-32.5316695,151.8177711
-34.6551252,139.7825386
33.6796243,-113.9445832
-33.8894444,151.1038889
-37.8508465,144.9803185
-34.9921404,138.7644803
-25.4038725,152.5221928
40.7508726,-73.9784357
-37.6951482,144.9158281
55.6381658,-2.6769028
54.5178099,-2.0097533
51.1174709,-0.1610653
-37.3159445,140.1546593
50.295135,-5.2009211
-34.7955526,138.6693829
-35.9757,149.9937
-36.4243903,146.0762626
53.2288345,-2.6665302
-33.8906823,138.6288501
48.0105499,-122.528927
41.4908382,-95.5986972
38.91706,-77.00025
40.8145359,-89.2074215
-28.8983333,153.0177778
-34.706834,139.5641328
34.8611959,-96.6655688
-33.3518409,138.2067781
33.5204959,-84.3591713
-35.6177619,139.5634626
-37.7730016,145.2505908
51.6082881,-0.6571233
-23.8431724,151.256132
-18.072604,143.8912401
-30.8233333,150.1927778
-34.515,146.6844444
51.6866141,-3.3958825
-20.6830185,117.2251868
